mayor,byte_length
Andy Mitchell,3478
Andy Mitchell,4667
OTHER,4618
OTHER,3609
Linda Marlene Eales,4252
Ron Black,3906
Linda Marlene Eales,4956
Andy Mitchell,3467
Ron Black,5279
Linda Marlene Eales,3991
OTHER,5120
Andy Mitchell,3409
Andy Mitchell,4269
OTHER,4701
Linda Marlene Eales,5244
OTHER,3657
OTHER,4817
Andy Mitchell,4463
OTHER,5278
Ron Black,3700
OTHER,5307
Andy Mitchell,4731
Ron Black,4710
Linda Marlene Eales,3734
Andy Mitchell,5033
Andy Mitchell,4812
Andy Mitchell,4449
OTHER,4235
Ron Black,3685
Linda Marlene Eales,4676
OTHER,4733
Linda Marlene Eales,4184
OTHER,4276
Linda Marlene Eales,3871
Andy Mitchell,3653
Ron Black,4774
OTHER,3436
Andy Mitchell,3525
OTHER,3515
Andy Mitchell,4009
Andy Mitchell,5276
Ron Black,3416
OTHER,5321
Ron Black,3767
OTHER,5145
Ron Black,4140
Andy Mitchell,4746
Ron Black,4873
Andy Mitchell,4857
Andy Mitchell,4122
Andy Mitchell,4615
OTHER,3832
Linda Marlene Eales,4439
Linda Marlene Eales,4846
Linda Marlene Eales,3557
Linda Marlene Eales,4523
OTHER,4973
OTHER,4983
Linda Marlene Eales,5189
Linda Marlene Eales,3940
OTHER,3921
Linda Marlene Eales,4528
Andy Mitchell,4631
Linda Marlene Eales,3410
Andy Mitchell,3740
Ron Black,4663
Andy Mitchell,4146
OTHER,4904
Linda Marlene Eales,4239
OTHER,5108
Linda Marlene Eales,5149
Linda Marlene Eales,3451
Linda Marlene Eales,5320
OTHER,4688
Linda Marlene Eales,4719
Ron Black,3391
Ron Black,3599
Linda Marlene Eales,4021
Linda Marlene Eales,5057
Ron Black,3439
Linda Marlene Eales,3577
OTHER,4719
OTHER,4848
Ron Black,3742
OTHER,4662
OTHER,3854
Linda Marlene Eales,4791
OTHER,4082
Linda Marlene Eales,3459
OTHER,4742
Ron Black,3632
Linda Marlene Eales,5350
Ron Black,4343
Ron Black,4190
Ron Black,3876
