Mayor,Councillor,Length
Ron Black,Brad Sinclair,3385
ABSTAIN,ABSTAIN,3347
ABSTAIN,Donna Ballantyne,3388
Ron Black,ABSTAIN,3384
Ron Black,Donna Ballantyne,3382
Linda Marlene Eales,ABSTAIN,3396
Linda Marlene Eales,ABSTAIN,3395
Andy Mitchell,ABSTAIN,3392
Linda Marlene Eales,Brad Sinclair,3391
Linda Marlene Eales,Brad Sinclair,3391
Linda Marlene Eales,ABSTAIN,3393
Linda Marlene Eales,Donna Ballantyne,3396
Andy Mitchell,Donna Ballantyne,3388
Andy Mitchell,Brad Sinclair,3388
ABSTAIN,ABSTAIN,3348
ABSTAIN,ABSTAIN,3350
Linda Marlene Eales,ABSTAIN,3393
Ron Black,Brad Sinclair,3386
Andy Mitchell,ABSTAIN,3390
Linda Marlene Eales,ABSTAIN,3400
ABSTAIN,ABSTAIN,3347
Ron Black,Donna Ballantyne,3387
Linda Marlene Eales,ABSTAIN,3395
Linda Marlene Eales,ABSTAIN,3396
Ron Black,Donna Ballantyne,3384
Ron Black,Brad Sinclair,3385
Andy Mitchell,Donna Ballantyne,3390
Ron Black,Brad Sinclair,3382
Linda Marlene Eales,Donna Ballantyne,3394
Ron Black,Brad Sinclair,3388
ABSTAIN,Brad Sinclair,3386
Andy Mitchell,ABSTAIN,3393
ABSTAIN,ABSTAIN,3347
Andy Mitchell,ABSTAIN,3388
Andy Mitchell,Brad Sinclair,3391
Andy Mitchell,Brad Sinclair,3389
Andy Mitchell,Donna Ballantyne,3390
Ron Black,Brad Sinclair,3382
ABSTAIN,Brad Sinclair,3388
ABSTAIN,ABSTAIN,3349
ABSTAIN,Donna Ballantyne,3388
Andy Mitchell,ABSTAIN,3390
ABSTAIN,Brad Sinclair,3385
Andy Mitchell,ABSTAIN,3395
Andy Mitchell,Brad Sinclair,3387
Linda Marlene Eales,Brad Sinclair,3390
Andy Mitchell,ABSTAIN,3390
ABSTAIN,Donna Ballantyne,3391
Andy Mitchell,Donna Ballantyne,3387
ABSTAIN,Donna Ballantyne,3388
Ron Black,Donna Ballantyne,3386
Linda Marlene Eales,Brad Sinclair,3390
ABSTAIN,ABSTAIN,3346
Linda Marlene Eales,Donna Ballantyne,3395
Ron Black,Donna Ballantyne,3382
Ron Black,Brad Sinclair,3382
Ron Black,Brad Sinclair,3385
Andy Mitchell,ABSTAIN,3389
ABSTAIN,ABSTAIN,3349
Linda Marlene Eales,ABSTAIN,3395
ABSTAIN,Brad Sinclair,3385
Ron Black,Brad Sinclair,3385
Ron Black,Donna Ballantyne,3385
