mayor,byte_length
Linda Marlene Eales,5355
Linda Marlene Eales,5354
Linda Marlene Eales,5353
Linda Marlene Eales,5353
Linda Marlene Eales,5352
Linda Marlene Eales,5352
Linda Marlene Eales,5352
Linda Marlene Eales,5351
Andy Mitchell,5351
Linda Marlene Eales,5350
Linda Marlene Eales,5350
Linda Marlene Eales,5350
Andy Mitchell,5350
Andy Mitchell,5350
Linda Marlene Eales,5350
Linda Marlene Eales,5350
Linda Marlene Eales,5350
Linda Marlene Eales,5349
Linda Marlene Eales,5349
Linda Marlene Eales,5349
Andy Mitchell,5349
Linda Marlene Eales,5349
Linda Marlene Eales,5349
Andy Mitchell,5349
Linda Marlene Eales,5349
Linda Marlene Eales,5349
Ron Black,5348
Linda Marlene Eales,5348
Andy Mitchell,5348
Andy Mitchell,5348
Ron Black,5348
Linda Marlene Eales,5348
Linda Marlene Eales,5348
Ron Black,5347
Andy Mitchell,5347
Andy Mitchell,5347
Andy Mitchell,5347
Andy Mitchell,5347
Linda Marlene Eales,5347
Linda Marlene Eales,5347
Linda Marlene Eales,5347
Linda Marlene Eales,5346
Linda Marlene Eales,5346
Andy Mitchell,5346
Ron Black,5346
Linda Marlene Eales,5346
Ron Black,5346
Linda Marlene Eales,5346
Ron Black,5345
Andy Mitchell,5345
Andy Mitchell,5345
Ron Black,5345
Linda Marlene Eales,5345
Linda Marlene Eales,5345
Andy Mitchell,5345
Andy Mitchell,5345
Ron Black,5345
Linda Marlene Eales,5345
Linda Marlene Eales,5345
Linda Marlene Eales,5345
Andy Mitchell,5345
Ron Black,5345
Andy Mitchell,5345
Ron Black,5344
Ron Black,5344
Linda Marlene Eales,5344
Andy Mitchell,5344
Andy Mitchell,5344
Ron Black,5344
Andy Mitchell,5344
Andy Mitchell,5344
Ron Black,5344
Linda Marlene Eales,5344
Ron Black,5344
Ron Black,5344
Ron Black,5343
Ron Black,5343
Andy Mitchell,5343
Andy Mitchell,5343
Ron Black,5343
Linda Marlene Eales,5343
Linda Marlene Eales,5343
Ron Black,5343
Linda Marlene Eales,5343
Ron Black,5342
Andy Mitchell,5342
Ron Black,5342
Andy Mitchell,5342
Ron Black,5342
Ron Black,5342
Linda Marlene Eales,5342
Ron Black,5342
Linda Marlene Eales,5342
Linda Marlene Eales,5342
Linda Marlene Eales,5342
Andy Mitchell,5342
Linda Marlene Eales,5342
Ron Black,5342
Linda Marlene Eales,5342
Linda Marlene Eales,5342
Linda Marlene Eales,5341
Ron Black,5341
Ron Black,5341
Andy Mitchell,5341
Linda Marlene Eales,5341
Linda Marlene Eales,5341
Andy Mitchell,5341
Ron Black,5341
Andy Mitchell,5341
Andy Mitchell,5341
Andy Mitchell,5341
Ron Black,5341
Andy Mitchell,5340
Andy Mitchell,5340
Andy Mitchell,5340
Ron Black,5340
Ron Black,5340
Andy Mitchell,5340
Linda Marlene Eales,5340
Andy Mitchell,5340
Linda Marlene Eales,5340
Andy Mitchell,5340
Linda Marlene Eales,5340
Andy Mitchell,5340
Andy Mitchell,5340
Linda Marlene Eales,5339
Ron Black,5339
Linda Marlene Eales,5339
Ron Black,5339
Ron Black,5339
Andy Mitchell,5339
Linda Marlene Eales,5339
Ron Black,5339
Andy Mitchell,5339
Andy Mitchell,5338
Ron Black,5338
Linda Marlene Eales,5338
Ron Black,5338
Andy Mitchell,5338
Andy Mitchell,5338
Andy Mitchell,5338
Ron Black,5338
Ron Black,5338
Ron Black,5338
Linda Marlene Eales,5337
Andy Mitchell,5337
Linda Marlene Eales,5337
Andy Mitchell,5337
Ron Black,5337
Linda Marlene Eales,5337
Linda Marlene Eales,5337
Ron Black,5337
Linda Marlene Eales,5337
Ron Black,5336
Andy Mitchell,5336
Ron Black,5336
Andy Mitchell,5336
Linda Marlene Eales,5336
Andy Mitchell,5336
Linda Marlene Eales,5336
Andy Mitchell,5336
Ron Black,5336
Ron Black,5335
Ron Black,5335
Ron Black,5335
Andy Mitchell,5335
Ron Black,5335
Andy Mitchell,5335
Andy Mitchell,5335
Andy Mitchell,5335
Andy Mitchell,5335
Ron Black,5334
Ron Black,5334
Ron Black,5334
Ron Black,5334
Ron Black,5334
Ron Black,5334
Ron Black,5334
Linda Marlene Eales,5334
Ron Black,5334
Ron Black,5334
Ron Black,5334
Linda Marlene Eales,5334
Andy Mitchell,5333
Ron Black,5333
Andy Mitchell,5333
Andy Mitchell,5333
Ron Black,5333
Ron Black,5333
Ron Black,5333
Ron Black,5333
Andy Mitchell,5333
Andy Mitchell,5333
Linda Marlene Eales,5333
Linda Marlene Eales,5333
Linda Marlene Eales,5333
Linda Marlene Eales,5332
Ron Black,5332
