,mayor,byte_length
0,Linda Marlene Eales,5355
1,Linda Marlene Eales,5354
2,Linda Marlene Eales,5353
3,Linda Marlene Eales,5353
4,Linda Marlene Eales,5352
5,Linda Marlene Eales,5352
6,Linda Marlene Eales,5352
7,Linda Marlene Eales,5351
8,Andy Mitchell,5351
9,Linda Marlene Eales,5350
10,Linda Marlene Eales,5350
11,Linda Marlene Eales,5350
12,Andy Mitchell,5350
13,Andy Mitchell,5350
14,Linda Marlene Eales,5350
15,Linda Marlene Eales,5350
16,Linda Marlene Eales,5350
17,Linda Marlene Eales,5349
18,Linda Marlene Eales,5349
19,Linda Marlene Eales,5349
20,Andy Mitchell,5349
21,Linda Marlene Eales,5349
22,Linda Marlene Eales,5349
23,Andy Mitchell,5349
24,Linda Marlene Eales,5349
25,Linda Marlene Eales,5349
26,Ron Black,5348
27,Linda Marlene Eales,5348
28,Andy Mitchell,5348
29,Andy Mitchell,5348
30,Ron Black,5348
31,Linda Marlene Eales,5348
32,Linda Marlene Eales,5348
33,Ron Black,5347
34,Andy Mitchell,5347
35,Andy Mitchell,5347
36,Andy Mitchell,5347
37,Andy Mitchell,5347
38,Linda Marlene Eales,5347
39,Linda Marlene Eales,5347
40,Linda Marlene Eales,5347
41,Linda Marlene Eales,5346
42,Linda Marlene Eales,5346
43,Andy Mitchell,5346
44,Ron Black,5346
45,Linda Marlene Eales,5346
46,Ron Black,5346
47,Linda Marlene Eales,5346
48,Ron Black,5345
49,Andy Mitchell,5345
50,Andy Mitchell,5345
51,Ron Black,5345
52,Linda Marlene Eales,5345
53,Linda Marlene Eales,5345
54,Andy Mitchell,5345
55,Andy Mitchell,5345
56,Ron Black,5345
57,Linda Marlene Eales,5345
58,Linda Marlene Eales,5345
59,Linda Marlene Eales,5345
60,Andy Mitchell,5345
61,Ron Black,5345
62,Andy Mitchell,5345
63,Ron Black,5344
64,Ron Black,5344
65,Linda Marlene Eales,5344
66,Andy Mitchell,5344
67,Andy Mitchell,5344
68,Ron Black,5344
69,Andy Mitchell,5344
70,Andy Mitchell,5344
71,Ron Black,5344
72,Linda Marlene Eales,5344
73,Ron Black,5344
74,Ron Black,5344
75,Ron Black,5343
76,Ron Black,5343
77,Andy Mitchell,5343
78,Andy Mitchell,5343
79,Ron Black,5343
80,Linda Marlene Eales,5343
81,Linda Marlene Eales,5343
82,Ron Black,5343
83,Linda Marlene Eales,5343
84,Ron Black,5342
85,Andy Mitchell,5342
86,Ron Black,5342
87,Andy Mitchell,5342
88,Ron Black,5342
89,Ron Black,5342
90,Linda Marlene Eales,5342
91,Ron Black,5342
92,Linda Marlene Eales,5342
93,Linda Marlene Eales,5342
94,Linda Marlene Eales,5342
95,Andy Mitchell,5342
96,Linda Marlene Eales,5342
97,Ron Black,5342
98,Linda Marlene Eales,5342
99,Linda Marlene Eales,5342
100,Linda Marlene Eales,5341
101,Ron Black,5341
102,Ron Black,5341
103,Andy Mitchell,5341
104,Linda Marlene Eales,5341
105,Linda Marlene Eales,5341
106,Andy Mitchell,5341
107,Ron Black,5341
108,Andy Mitchell,5341
109,Andy Mitchell,5341
110,Andy Mitchell,5341
111,Ron Black,5341
112,Andy Mitchell,5340
113,Andy Mitchell,5340
114,Andy Mitchell,5340
115,Ron Black,5340
116,Ron Black,5340
117,Andy Mitchell,5340
118,Linda Marlene Eales,5340
119,Andy Mitchell,5340
120,Linda Marlene Eales,5340
121,Andy Mitchell,5340
122,Linda Marlene Eales,5340
123,Andy Mitchell,5340
124,Andy Mitchell,5340
125,Linda Marlene Eales,5339
126,Ron Black,5339
127,Linda Marlene Eales,5339
128,Ron Black,5339
129,Ron Black,5339
130,Andy Mitchell,5339
131,Linda Marlene Eales,5339
132,Ron Black,5339
133,Andy Mitchell,5339
134,Andy Mitchell,5338
